ASCII data file with an example of radar Doppler data from a single dwell
Measurements are from the Thales X-Band weather radar, 
installed at the Toulouse Blagnac airport during the UFO measurement campaign.
First dwell from the file WX_DOP_ROT_20140424_WF12_TUD.h5
which is the same as the first dwell from the file WX_DOP_ROT_140424140843_WF12

Azimuth     : 3.130000114440918 rad (measured clockwise from the Geographic North Pole)
Elevation   : 0.11299999803304672 rad (measured from the horizon (0 rad) upwards)
Lat         : 43.617555
Lon         : 1.387444
Height      : 168.0 m
FREQ        : 9502 MHz
vel_amb     : 63.1 ms-1

slant range : Slant range (meter) to the leading edge of the range bins.
power       : Uncalibrated power
rad_vel     : Radial Doppler velocity estimated from the Doppler phase shift


slant_range    power          rad_vel        
3.930e+03      5.950e+01      -1.570e+00     
4.040e+03      6.100e+01      1.130e+00      
4.150e+03      5.950e+01      -3.500e-01     
4.260e+03      5.700e+01      0.000e+00      
4.370e+03      5.550e+01      1.050e+00      
4.480e+03      6.050e+01      7.800e-01      
4.590e+03      5.700e+01      1.260e+00      
4.690e+03      5.750e+01      1.100e+00      
4.800e+03      5.950e+01      8.700e-01      
4.910e+03      5.900e+01      1.330e+00      
5.020e+03      5.150e+01      4.800e-01      
5.130e+03      5.750e+01      1.970e+00      
5.240e+03      5.900e+01      1.990e+00      
5.350e+03      6.050e+01      2.080e+00      
5.450e+03      6.100e+01      1.930e+00      
5.560e+03      5.800e+01      2.120e+00      
5.670e+03      5.700e+01      2.470e+00      
5.780e+03      5.900e+01      1.980e+00      
5.890e+03      5.900e+01      1.750e+00      
6.000e+03      6.500e+01      1.660e+00      
6.100e+03      6.550e+01      1.970e+00      
6.210e+03      6.200e+01      2.130e+00      
6.320e+03      6.400e+01      2.440e+00      
6.430e+03      6.350e+01      2.760e+00      
6.540e+03      5.850e+01      2.670e+00      
6.650e+03      5.850e+01      1.870e+00      
6.760e+03      5.950e+01      1.990e+00      
6.860e+03      5.750e+01      2.000e+00      
6.970e+03      6.400e+01      2.340e+00      
7.080e+03      6.300e+01      2.570e+00      
7.190e+03      6.000e+01      2.540e+00      
7.300e+03      6.000e+01      2.480e+00      
7.410e+03      6.000e+01      2.810e+00      
7.520e+03      6.300e+01      3.030e+00      
7.620e+03      6.100e+01      3.700e+00      
7.730e+03      5.700e+01      1.980e+00      
7.840e+03      6.150e+01      2.810e+00      
7.950e+03      6.000e+01      3.170e+00      
8.060e+03      5.950e+01      2.590e+00      
8.170e+03      6.400e+01      2.990e+00      
8.270e+03      6.150e+01      3.100e+00      
8.380e+03      6.500e+01      3.540e+00      
8.490e+03      5.900e+01      3.660e+00      
8.600e+03      5.900e+01      3.140e+00      
8.710e+03      5.900e+01      3.750e+00      
8.820e+03      5.450e+01      3.350e+00      
8.930e+03      5.850e+01      3.510e+00      
9.030e+03      6.100e+01      3.450e+00      
9.140e+03      5.850e+01      3.380e+00      
9.250e+03      6.000e+01      3.850e+00      
9.360e+03      6.200e+01      3.680e+00      
9.470e+03      5.500e+01      4.070e+00      
9.580e+03      5.900e+01      3.940e+00      
9.690e+03      5.900e+01      4.090e+00      
9.790e+03      5.700e+01      4.540e+00      
9.900e+03      5.950e+01      4.210e+00      
1.000e+04      6.000e+01      4.360e+00      
1.010e+04      6.100e+01      4.110e+00      
1.020e+04      6.100e+01      3.830e+00      
1.030e+04      6.150e+01      3.940e+00      
1.040e+04      5.600e+01      4.100e+00      
1.060e+04      6.050e+01      4.200e+00      
1.070e+04      6.150e+01      4.550e+00      
1.080e+04      6.250e+01      4.240e+00      
1.090e+04      5.850e+01      4.450e+00      
1.100e+04      5.650e+01      4.760e+00      
1.110e+04      5.450e+01      4.460e+00      
